@,B,D,$,E,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
DE0009751750,0.00|0.00|0.00,1.22.07,50.05,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,185.870,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.98|0.00|0.00|0.00|0.00,0.264000,50.05,1.22.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,2.13.07,5.32,,EUR,1,1.000000,,|[SBroker (H)],,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,5.32,2.13.07,Microsoft,870747,
DE0009751750,0.00|0.00|0.00,2.20.07,50.61,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,199.280,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.99|0.00|0.00|0.00|0.00,0.249000,50.61,2.20.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,3.20.07,50.83,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,192.380,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.259000,50.83,3.20.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
LU0124427344,,4.20.07,0.90,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG DEKASTRUKTUR,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.90,4.20.07,DekaStruktur: 3 Wachstum,554002,
DE0009751750,0.00|0.00|0.00,4.20.07,51.03,,EUR,2,1.000000,208.458,|[Privatgiro],REFER* 0000015650177  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.240000,51.03,4.20.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0005557508,,5.4.07,14.40,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG DT.TELEKOM AG,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,14.40,5.4.07,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0009751750,0.00|0.00|0.00,5.21.07,50.54,,EUR,2,1.000000,215.435,|[Privatgiro],REFER* 0000016040359  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.99|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.230000,50.54,5.21.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,6.14.07,4.45,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,4.45,6.14.07,Microsoft,870747,
DE0009751750,0.00|0.00|0.00,6.25.07,50.45,,EUR,2,1.000000,218.850,|[Privatgiro],REFER* 0000016336212  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.99|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.226000,50.45,6.25.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,7.23.07,49.95,,EUR,2,1.000000,220.586,|[Privatgiro],REFER* 0000016820108  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.222000,49.95,7.23.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,8.22.07,51.82,,EUR,2,1.000000,190.262,|[Privatgiro],UBS D EQ.FD-MIDCAP,Kauf,0.00|0.00|1.02|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.267000,51.82,8.22.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,9.13.07,4.30,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,4.30,9.13.07,Microsoft,870747,
DE0009751750,0.00|0.00|0.00,9.26.07,49.97,,EUR,2,1.000000,201.605,|[Privatgiro],REFER* 0000017384567  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.243000,49.97,9.26.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,10.26.07,49.12,,EUR,2,1.000000,205.812,|[Privatgiro],REFER* 0000017821683  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.96|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.234000,49.12,10.26.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,,11.5.07,0.05,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG UBS D EQ.FD-MI  / Ertragsthesaurierung,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.05,11.5.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,11.23.07,49.77,,EUR,2,1.000000,182.734,|[Privatgiro],REFER* 0000018148868  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.267000,49.77,11.23.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,12.13.07,4.43,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,4.43,12.13.07,Microsoft,870747,
DE0009751750,0.00|0.00|0.00,12.27.07,50.29,,EUR,2,1.000000,186.742,|[Privatgiro],REFER* 0000018615194  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.99|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.264000,50.29,12.27.07,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,1.25.08,47.47,,EUR,2,1.000000,152.590,|[Privatgiro],REFER* 0000019154441  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.93|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.305000,47.47,1.25.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
