@,B,D,$,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
DE0009786285,,2.21.00,,EUR,2,1.000000,110.016,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.859000,,2.21.00,Deka-EuropaPotential TF,978628,
DE0008474503,,3.14.00,,EUR,2,1.000000,93.098,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.368000,34.26,3.14.00,DekaFonds CF,847450,
DE0009786285,,3.15.00,,EUR,2,1.000000,127.031,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.805000,102.26,3.15.00,Deka-EuropaPotential TF,978628,
DE0008474503,,4.13.00,,EUR,2,1.000000,88.527,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.387000,34.26,4.13.00,DekaFonds CF,847450,
DE0008474503,,5.12.00,,EUR,2,1.000000,87.621,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.391000,34.26,5.12.00,DekaFonds CF,847450,
DE0009786285,,5.29.00,,EUR,2,1.000000,100.381,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3.647000,,5.29.00,Deka-EuropaPotential TF,978628,
DE0008474503,,6.14.00,,EUR,2,1.000000,87.846,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.390000,34.26,6.14.00,DekaFonds CF,847450,
DE0009786285,,6.15.00,,EUR,2,1.000000,108.166,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.709000,76.69,6.15.00,Deka-EuropaPotential TF,978628,
DE0008474503,,7.13.00,,EUR,2,1.000000,86.297,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.397000,34.26,7.13.00,DekaFonds CF,847450,
DE0009786285,,7.17.00,,EUR,2,1.000000,110.345,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.695000,76.69,7.17.00,Deka-EuropaPotential TF,978628,
DE0008474503,,8.14.00,,EUR,2,1.000000,90.158,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.380000,34.26,8.14.00,DekaFonds CF,847450,
DE0009786285,,8.15.00,,EUR,2,1.000000,107.711,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.712000,76.69,8.15.00,Deka-EuropaPotential TF,978628,
DE0008474503,,9.15.00,,EUR,2,1.000000,87.621,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.391000,34.26,9.15.00,DekaFonds CF,847450,
DE0008474503,,10.12.00,,EUR,2,1.000000,83.155,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.412000,34.26,10.12.00,DekaFonds CF,847450,
DE0009786285,,10.23.00,,EUR,2,1.000000,103.719,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.116000,,10.23.00,Deka-EuropaPotential TF,978628,
DE0008474503,,11.14.00,,EUR,2,1.000000,85.224,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.402000,34.26,11.14.00,DekaFonds CF,847450,
DE0009786285,,11.15.00,,EUR,2,1.000000,98.573,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.778000,76.69,11.15.00,Deka-EuropaPotential TF,978628,
,,11.20.00,,EUR,0,1.000000,40.181,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.545000,102.26,11.20.00,Deka-LifeStyle TF,515273,
,,11.20.00,,EUR,0,1.000000,37.513,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.726000,102.26,11.20.00,Deka-Logistik TF,515275,
DE0008474503,,12.14.00,,EUR,2,1.000000,82.554,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.415000,34.26,12.14.00,DekaFonds CF,847450,
,,12.18.00,,EUR,0,1.000000,33.928,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.507000,51.13,12.18.00,Deka-Logistik TF,515275,
